Order No,Order Date,Order Year,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5014-1,11-02-2013,2013,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,High,Artisan Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Small Box,Regular Air,12-02-2013,$3.52,$5.58,$2.06,29,$161.82,3%,$4.85,$156.97,$2.99,$159.96
5016-1,11-02-2013,2013,Alex Russell,"101/12 Victoria Ave, Perth",Melbourne,VIC,Home Office,Connor Betts,High,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,12-02-2013,$2.39,$4.26,$1.87,29,$123.54,3%,$3.71,$119.83,$1.20,$121.03
5018-1,12-02-2013,2013,Tamara Dahlen,"61 York St,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Critical,"Message Book, One Form per Page",Office Supplies,Wrap Bag,Express Air,14-02-2013,$2.41,$3.71,$1.30,42,$155.82,7%,$10.91,$144.91,$1.93,$146.84
5019-1,13-02-2013,2013,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,Cando S750 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,15-02-2013,$75.00,$120.97,$45.97,6,$725.82,8%,$58.07,$667.75,$26.30,$694.05
5020-1,14-02-2013,2013,Muhammed Yedwab,"18 Whistler St,Sydney",Sydney,NSW,Consumer,Nicholas Fernandes,Critical,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Wrap Bag,Regular Air,15-02-2013,$0.90,$2.10,$1.20,17,$35.70,3%,$1.07,$34.63,$0.70,$35.33
5023-1,17-02-2013,2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Low,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,22-02-2013,$1.09,$2.60,$1.51,47,$122.20,10%,$12.22,$109.98,$2.40,$112.38
5024-1,18-02-2013,2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Regular Air,20-02-2013,$99.39,$162.93,$63.54,32,"$5,213.76",9%,$469.24,"$4,744.52",$19.99,"$4,764.51"
5025-1,20-02-2013,2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,22-02-2013,$1.09,$1.68,$0.59,33,$55.44,4%,$2.22,$53.22,$1.00,$54.22
5027-1,22-02-2013,2013,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,23-02-2013,$54.29,$90.48,$36.19,8,$723.84,7%,$50.67,$673.17,$19.99,$693.16
5029-1,23-02-2013,2013,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,23-02-2013,$5.33,$8.60,$3.27,48,$412.80,0%,$0.00,$412.80,$6.19,$418.99
5031-1,25-02-2013,2013,Paul Prost,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Security-Tint Envelopes,Office Supplies,Small Box,Regular Air,27-02-2013,$4.89,$7.64,$2.75,18,$137.52,10%,$13.75,$123.77,$1.39,$125.16
5033-1,25-02-2013,2013,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,Samantha Chairs,Medium,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,27-02-2013,$54.29,$90.48,$36.19,3,$271.44,3%,$8.14,$263.30,$19.99,$283.29
5034-1,26-02-2013,2013,Natalie Webber,"98-104 Parramatta Rd,Camperdown",Sydney,NSW,Corporate,Phoebe Gour,High,Artisan Arch Ring Binders,Office Supplies,Small Box,Regular Air,26-02-2013,$36.02,$58.10,$22.08,50,"$2,905.00",5%,$145.25,"$2,759.75",$1.49,"$2,761.24"
5036-1,07-03-2013,2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Critical,OIC Thumb-Tacks,Office Supplies,Wrap Bag,Regular Air,10-03-2013,$0.71,$1.14,$0.43,50,$57.00,6%,$3.42,$53.58,$0.70,$54.28
5037-1,11-03-2013,2013,Art Foster,"14 Money Street, Perth",Sydney,NSW,Home Office,Stevie Bacata,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,13-03-2013,$3.42,$8.34,$4.92,16,$133.44,3%,$4.00,$129.44,$2.64,$132.08
5038-1,13-03-2013,2013,Darren Powers,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Low,OIC Thumb-Tacks,Office Supplies,Wrap Bag,Regular Air,13-03-2013,$0.71,$1.14,$0.43,38,$43.32,2%,$0.87,$42.45,$0.70,$43.15
5039-1,15-03-2013,2013,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Corporate,Natasha Song,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,16-03-2013,$4.59,$7.28,$2.69,22,$160.16,1%,$1.60,$158.56,$11.15,$169.71
5040-1,16-03-2013,2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Low,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Wrap Bag,Regular Air,20-03-2013,$1.30,$2.88,$1.58,48,$138.24,7%,$9.68,$128.56,$1.01,$129.57
5043-1,23-03-2013,2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,High,Smiths Gold Paper Clips,Office Supplies,Wrap Bag,Regular Air,26-03-2013,$1.82,$2.98,$1.16,22,$65.56,4%,$2.62,$62.94,$1.58,$64.52
5045-1,26-03-2013,2013,Mick Brown,"523 King St,Newtown",Sydney,NSW,Consumer,Aanya Zhang,Not Specified,UGen RF Keyboard,Technology,Small Box,Regular Air,28-03-2013,$81.59,$159.99,$78.40,30,"$4,799.70",1%,$48.00,"$4,751.70",$5.50,"$4,757.20"
5047-1,27-03-2013,2013,Edward Becker,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,03-04-2013,$5.33,$8.60,$3.27,37,$318.20,4%,$12.73,$305.47,$6.19,$311.66
5048-1,27-03-2013,2013,Erica Smith,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,27-03-2013,$3.52,$5.68,$2.16,24,$136.32,6%,$8.18,$128.14,$1.39,$129.53
